code,agency,type
010000,OAKLAND,Sheriffs Office
010001,OAKLAND,County Jail
010100,ALAMEDA,Police Department
01013A,OAKLAND,District Attorney
01013G,OAKLAND,Probation Department
01013H,FREMONT,District Attorney
01015C,OAKLAND,Youth Authority
01017Y,ALAMEDA CO SOC SEC AD,Federal Board/Commission/Dept/Bureau/Agy
010200,ALBANY,Police Department
01025G,ALAMEDA CO,Parole
010300,BERKELEY,Police Department
01035G,PAR COMM SRV OAKLAND,Parole
010400,EMERYVILLE,Police Department
01045G,COMM SRV SAN LEANDRO,Parole
010500,FREMONT,Police Department
01055G,PLEASANTON,Youth Authority
010600,HAYWARD,Police Department
010700,LIVERMORE,Police Department
010800,NEWARK,Police Department
010900,OAKLAND,Police Department
011000,PIEDMONT,Police Department
011100,PLEASANTON,Police Department
011200,SAN LEANDRO,Police Department
011300,UNION CITY,Police Department
011400,E BAY REG OAKLAND,Police Department
011401,E BAY REG CASTRO VAL,Police Department
011500,PD HAYWARD,State University
012100,PD BART OAKLAND,Transit District
012200,PD LIVERMORE,University
012500,PERALTA SAFETY POLICE,Community College
012700,PD LAWRENC BERKLY LAB,University
013100,EAST BAY RANGERS,Utility District
013300,OAKLAND HOUS AUTH PSD,City Board/Commission/Dept.
013400,DMV INV OAKLAND,State Department
013900,PD OAKLAND,Unified School District
019100,OAKLAND,Marshal
019700,PD BERKELEY,University
019800,OAKLAND,State Police
019916,ISU GOLDEN GATE DIV,Highway Patrol
019945,HAYWARD,Highway Patrol
019970,OAKLAND,Highway Patrol
019971,OKLND,Highway Patrol
019975,CASTRO VALLEY,Highway Patrol
019990,DUBLIN AREA,Highway Patrol
019999,OTHER ALAMEDA CO,Reporting Agency
01ID00,ALAMEDA CO,Identification Bureau
020000,MARKLEEVILLE,Sheriffs Office
020001,MARKLEEVILLE,County Jail
02013A,MARKLEEVILLE,District Attorney
02013G,MARKLEEVILLE,Probation Department
02015G,ALPINE CO,Parole
029100,MARKLEEVILLE,Marshal
029900,MARKLEEVILLE,Highway Patrol
029999,OTHER ALPINE CO,Reporting Agency
030000,JACKSON,Sheriffs Office
030001,JACKSON,County Jail
030100,AMADOR CITY,Police Department
03013A,JACKSON,District Attorney
03013G,JACKSON,Probation Department
03015C,PINE GROVE,Youth Authority
03015D,WATERMAN,Youth Authority
03015G,AMADOR CO,Parole
030200,IONE,Police Department
03025C,IONE,Youth Authority
03025D,PRESTON,Youth Authority
030300,JACKSON,Police Department
03035C,CORR IONE,State Department
030400,PLYMOUTH,Police Department
030500,SUTTER CREEK,Police Department
039100,JACKSON,Marshal
039900,JACKSON,Highway Patrol
039995,AMADOR,Highway Patrol
039999,OTHER AMADOR CO,Reporting Agency
040000,OROVILLE,Sheriffs Office
040001,OROVILLE,County Jail
040100,BIGGS,Police Department
04013A,OROVILLE,District Attorney
04013G,OROVILLE,Probation Department
04015G,BUTTE CO,Parole
040200,CHICO,Police Department
040300,GRIDLEY,Police Department
040400,OROVILLE,Police Department
040500,PARADISE,Police Department
040600,HLTH SERV INVST,State Department
040700,PARKS REC OROVILLE,State Department
041000,BUTTE CO,Narctotic Task Force
041100,PD BUTTE COMM COLLEGE,Community College
041200,FORESTRY FIRE PROT IV,State Department
049100,OROVILLE,Marshal
049700,PD CHICO,State University
049940,OROVILLE,Highway Patrol
049941,CHICO,Highway Patrol
049999,OTHER BUTTE CO,Reporting Agency
050000,SAN ANDREAS,Sheriffs Office
050001,SAN ANDREAS,County Jail
050100,ANGELS CAMP,Police Department
05013A,SAN ANDREAS,District Attorney
05013G,SAN ANDREAS,Probation Department
05015C,SAN ANDREAS,Youth Authority
05015G,CALAVERAS CO,Parole
050300,PARKS REC CALAVERAS,State Department
050400,CALAVERAS CO,Narctotic Task Force
050500,WELFARE SAN ANDREAS,County Board/Commission/Dept.
059100,SAN ANDREAS,Marshal
059955,SAN ANDREAS,Highway Patrol
059999,OTHER CALAVERAS CO,Reporting Agency
060000,COLUSA,Sheriffs Office
060001,COLUSA,County Jail
060100,COLUSA,Police Department
06013A,COLUSA,District Attorney
06013G,COLUSA,Probation Department
06015G,COLUSA CO,Parole
060200,WILLIAMS,Police Department
069100,COLUSA,Marshal
069955,WILLIAMS,Highway Patrol
069999,OTHER COLUSA CO,Reporting Agency
070000,MARTINEZ,Sheriffs Office
070001,MARTINEZ,County Jail
070021,CNTRA CSTA DANVILLEPD,Sheriffs Office
070025,CNTRA CSTA S RAMON PD,Sheriffs Office
070057,CNTRA CSTA OAKLEY PD,Sheriffs Office
070100,ANTIOCH,Police Department
07013A,MARTINEZ,District Attorney
07013G,CONCORD,Probation Department
07015G,CONTRA COSTA CO,Parole
070200,BRENTWOOD,Police Department
07023G,ANTIOCH,Probation Department
070300,CLAYTON,Police Department
07033G,MARTINEZ,Probation Department
070400,CONCORD,Police Department
07043G,RICHMOND,Probation Department
070500,EL CERRITO,Police Department
070600,HERCULES,Police Department
070700,PINOLE,Police Department
070800,PITTSBURG,Police Department
070900,PLEASANT HILL,Police Department
071000,RICHMOND,Police Department
071100,SAN PABLO,Police Department
071200,WALNUT CREEK,Police Department
071300,KENSINGTON,Police Department
071400,MARTINEZ,Police Department
071500,LAFAYETTE,Police Department
071600,MORAGA,Police Department
071700,E BAY REG MARTINEZ,Police Department
072100,PD CONTRA COSTA,Community College
072200,RIVERVIEW FIRE INV,County Board/Commission/Dept.
072700,CONSLDTED FIRE DST PH,Arson Division
072800,CONTRA COSTA CO,Drug Enforcement Unit/Administration
073100,INSUR FRAUD MARTINEZ,State Department
073200,WELFARE INV MARTINEZ,County Board/Commission/Dept.
074000,SAN RAMON,Police Department
079100,MARTINEZ,Marshal
079101,RICHMOND,Marshal
079900,MARTINEZ,Highway Patrol
079920,CONTRA COSTA,Highway Patrol
079999,OTHER CONTRA COSTA CO,Reporting Agency
080000,CRESCENT CITY,Sheriffs Office
080001,CRESCENT CITY,County Jail
080100,CRESCENT CITY,Police Department
08013A,CRESCENT CITY,District Attorney
08013G,CRESCENT CITY,Probation Department
08015C,CORR PELICAN BAY,State Department
08015G,DEL NORTE CO,Parole
080200,CRESCENT CITY,Narctotic Task Force
08033G,DEL NORTE,Probation Department
089100,CRESCENT CITY,Marshal
089920,CRESCENT CITY,Highway Patrol
089999,OTHER DEL NORTE CO,Reporting Agency
090000,PLACERVILLE,Sheriffs Office
090001,PLACERVILLE,County Jail
090002,EL DORADO SO LK TAHOE,Sheriffs Office
090099,EL DORADO PLACERVILLE,Sheriffs Office
090100,PLACERVILLE,Police Department
09013A,PLACERVILLE,District Attorney
09013G,PLACERVILLE,Probation Department
09013J,ELDORADO,Superior Court
09015G,EL DORADO CO,Parole
090200,SOUTH LAKE TAHOE,Police Department
09033A,SOUTH LAKE TAHOE,District Attorney
090400,WELFARE EL DORADO,County Board/Commission/Dept.
099100,PLACERVILLE,Marshal
099945,PLACERVILLE,Highway Patrol
099946,SOUTH LAKE TAHOE,Highway Patrol
099999,OTHER EL DORADO CO,Reporting Agency
100000,FRESNO,Sheriffs Office
100001,FRESNO,County Jail
100100,CLOVIS,Police Department
10013G,FRESNO,Probation Department
10015C,CORR PLEASANT VALLEY,State Department
10015G,FRESNO CO,Parole
10015M,COALINGA,Hospital
100200,COALINGA,Police Department
10023A,FRESNO,District Attorney
100300,FIREBAUGH,Police Department
100400,FOWLER,Police Department
100500,FRESNO,Police Department
100600,HURON,Police Department
100700,KERMAN,Police Department
100800,KINGSBURG,Police Department
100900,MENDOTA,Police Department
101000,ORANGE COVE,Police Department
101100,PARLIER,Police Department
101200,REEDLEY,Police Department
101300,SANGER,Police Department
101400,SAN JOAQUIN,Police Department
101500,SELMA,Police Department
101700,PD ST CENTER FRESNO,Community College
102000,FISH GAME FRESNO,State Department
102100,FIRE DEPT FRESNO,City Board/Commission/Dept.
103000,PARKS REC SAN JOAQUIN,State Department
103200,DMV INV FRESNO,State Department
103300,INS FRAUD FRESNO,State Department
103400,FORESTRY FIRE PROT IU,State Department
109100,FRESNO,Marshal
109400,BNE FRESNO,Department of Justice
109700,PD FRESNO,State University
109800,FRESNO,State Police
109901,CENTRAL DIVISION,Highway Patrol
109935,FRESNO,Highway Patrol
109995,COALINGA,Highway Patrol
109999,OTHER FRESNO CO,Reporting Agency
110000,WILLOWS,Sheriffs Office
110001,WILLOWS,County Jail
110100,ORLAND,Police Department
11013A,WILLOWS,District Attorney
11013G,WILLOWS,Probation Department
11015G,GLENN CO,Parole
110200,WILLOWS,Police Department
119100,WILLOWS,Marshal
119960,WILLOWS,Highway Patrol
119999,OTHER GLENN CO,Reporting Agency
120000,EUREKA,Sheriffs Office
120001,EUREKA,County Jail
120010,HUMBOLDT CO EUREKA,Sheriffs Office
120100,ARCATA,Police Department
12013A,EUREKA,District Attorney
12013G,EUREKA,Probation Department
12015G,HUMBOLDT CO,Parole
120200,BLUE LAKE,Police Department
120300,EUREKA,Police Department
120400,FERNDALE,Police Department
120500,FORTUNA,Police Department
120600,TRINIDAD,Police Department
120700,RIO DELL,Police Department
120800,PD HUMBOLDT,State University
121000,PARKS REC EEL RIVER,State Department
121200,HUMBOLDT CO,Narctotic Task Force
121400,WELFARE EUREKA,County Board/Commission/Dept.
121500,CONSTABLE ARCATA,County Board/Commission/Dept.
129100,EUREKA,Marshal
129925,HUMBOLDT,Highway Patrol
129926,GARBERVILLE,Highway Patrol
129999,OTHER HUMBOLDT CO,Reporting Agency
130000,EL CENTRO,Sheriffs Office
130001,EL CENTRO,County Jail
130100,BRAWLEY,Police Department
13013A,EL CENTRO,District Attorney
13015C,CORR NORTH IMPERIAL,State Department
13015G,IMPERIAL CO,Parole
130200,CALEXICO,Police Department
13023G,EL CENTRO,Probation Department
130300,CALIPATRIA,Police Department
130400,EL CENTRO,Police Department
13045C,CORR CENTINELA,State Department
130500,HOLTVILLE,Police Department
13055C,CORR CENTINELA RECORD,State Department
130600,IMPERIAL,Police Department
130700,WESTMORLAND,Police Department
131000,IMPERIAL CO,Narctotic Task Force
139100,EL CENTRO,Marshal
139910,WINTRHAVEN,Highway Patrol
139920,WINTERHAVEN,Highway Patrol
139925,EL CENTRO,Highway Patrol
139999,OTHER IMPERIAL CO,Reporting Agency
140000,INDEPENDENCE,Sheriffs Office
140001,INDEPENDENCE,County Jail
140100,BISHOP,Police Department
14013A,INDEPENDENCE,District Attorney
14013G,INDEPENDENCE,Probation Department
14015G,INYO CO,Parole
140200,INDEPENDENCE,Police Department
14023A,INYO COUNTY,District Attorney
149100,INDEPENDENCE,Marshal
149925,BISHOP,Highway Patrol
149999,OTHER INYO CO,Reporting Agency
150000,BAKERSFIELD,Sheriffs Office
150001,BAKERSFIELD,County Jail
150003,KERN MOJAVE,Sheriffs Office
150004,KERN CO RECORDS,Sheriffs Office
150010,KERN WASCO,Sheriffs Office
150011,KERN RIDGECREST,Sheriffs Office
150100,ARVIN,Police Department
15011C,DELANO COMM CORR FAC,County Board/Commission/Dept.
15013A,BAKERSFIELD,District Attorney
15013G,BAKERSFIELD,Probation Department
15015C,CORR TEHACHAPI,State Department
15015G,KERN CO,Parole
15017G,BAKERSFIELD,Probation Department
150200,BAKERSFIELD,Police Department
15025C,CORR WASCO,State Department
150300,DELANO,Police Department
150400,MARICOPA,Police Department
15045C,CORR DELANO,State Department
150500,MCFARLAND,Police Department
150600,RIDGECREST,Police Department
150700,SHAFTER,Police Department
15075C,KERN,State Prison
150800,TAFT,Police Department
15085C,CORR CALIFORNIA CITY,State Department
150900,TEHACHAPI,Police Department
151000,WASCO,Police Department
151100,CALIFORNIA CITY,Police Department
151200,PD BAKERSFIELD,State University
151300,CHINA LAKE,Police Department
151400,STALLION SPRINGS,Police Department
15143J,KERN,Superior Court
151500,BEAR VALLEY,Police Department
151800,ARSON UNIT BAKERSFLD,County Board/Commission/Dept.
151900,BAKERSFIELD,Park District
152100,KERN UNION HIGH,Unified School District
152300,HOUSING AUTH BKRSFLD,County Board/Commission/Dept.
152400,KERN CO HUMAN SERV IU,County Board/Commission/Dept.
159100,BAKERSFIELD,Marshal
159920,BAKERSFIELD,Highway Patrol
159926,BUTTONWILLOW AREA,Highway Patrol
159930,MOJAVE,Highway Patrol
159960,FORT TEJON,Highway Patrol
159999,OTHER KERN CO,Reporting Agency
160000,HANFORD,Sheriffs Office
160001,HANFORD,County Jail
160100,CORCORAN,Police Department
16013A,HANFORD,District Attorney
16013G,HANFORD,Probation Department
16015C,CORR AVENAL,State Department
16015G,KINGS CO,Parole
160200,HANFORD,Police Department
16025C,CORR CORCORAN,State Department
160300,LEMOORE,Police Department
160500,KINGS CO FIRE DEPT,Arson Division
16065C,CORR CA SATF RECORDS,State Department
160800,AVENAL,Police Department
169100,HANFORD,Marshal
169940,HANFORD,Highway Patrol
169999,OTHER KINGS CO,Reporting Agency
170000,LAKEPORT,Sheriffs Office
170001,LAKEPORT,County Jail
170100,LAKEPORT,Police Department
17013A,LAKEPORT,District Attorney
17013G,LAKEPORT,Probation Department
17015G,LAKE CO,Parole
170200,CLEARLAKE,Police Department
179100,LAKEPORT,Marshal
179900,LAKEPORT,Highway Patrol
179951,CLEAR LAKE,Highway Patrol
179999,OTHER LAKE CO,Reporting Agency
180000,SUSANVILLE,Sheriffs Office
180001,SUSANVILLE,County Jail
180100,SUSANVILLE,Police Department
18013A,SUSANVILLE,District Attorney
18013G,SUSANVILLE,Probation Department
18015C,CORR SUSANVILLE,State Department
18015G,LASSEN CO,Parole
180200,HERLONG,Police Department
18055C,HIGH DESERT,State Prison
189100,SUSANVILLE,Marshal
189940,SUSANVILLE,Highway Patrol
189999,OTHER LASSEN CO,Reporting Agency
190000,LOS ANGELES,Sheriffs Office
190002,LA EAST LOS ANGELES,Sheriffs Office
190003,LA LENNOX,Sheriffs Office
190004,LA NORWALK,Sheriffs Office
190005,LA TEMPLE,Sheriffs Office
190006,LA SANTA CLARITA VLY,Sheriffs Office
190007,LA ALTADENA,Sheriffs Office
190008,LA SAN DIMAS,Sheriffs Office
190009,LA WEST HOLLYWOOD,Sheriffs Office
190012,LA CRESCENTA VALLEY,Sheriffs Office
190013,LA LAKEWOOD,Sheriffs Office
190014,LA INDUSTRY,Sheriffs Office
190015,LA PICO RIVERA,Sheriffs Office
190016,LA CARSON,Sheriffs Office
190017,LA LOMITA,Sheriffs Office
190018,LA AVALON,Sheriffs Office
190020,LA WALNUT,Sheriffs Office
190022,LA LOST HILLS,Sheriffs Office
190024,LA LANCASTER,Sheriffs Office
190030,LA PJP DET NORTH,Sheriffs Office
190035,LOS ANGELES,Narctotic Task Force
190040,LA RECORDS FP,Sheriffs Office
190042,LA COMPTON,Sheriffs Office
190046,LA SCIENTIFIC SRV LAB,Sheriffs Office
190047,LA RECORDS ID,Sheriffs Office
190049,LA EMERG OPER BUREAU,Sheriffs Office
190050,LA INMATE RECEP CTR,Sheriffs Office
190051,LA SYBIL BRAND INST,Sheriffs Office
190053,LOS ANGELES,County Jail
190056,LA MIRALOMA,Sheriffs Office
190057,LA JAIL HOSPITAL WARD,Sheriffs Office
190058,LA MENS CNTRL JAIL,Sheriffs Office
190062,LA MAJOR CRIMES BUR,Sheriffs Office
190065,LA MARINA DEL REY,Sheriffs Office
190079,LA MONTEREY PARK,Sheriffs Office
190082,LA PHR SOUTH,Sheriffs Office
190087,LA NORTH CO CORR FAC,Sheriffs Office
190094,LA WHITTIER,Sheriffs Office
1900F2,LA CO REC INFO SYSTEM,Sheriffs Office
1900F3,LA PARKS BUREAU,Sheriffs Office
1900F4,LA SERVICES BUREAU,Sheriffs Office
1900N9,LA COURT SERVICES,Sheriffs Office
1900P0,LA SAN FERNANDO MUNI,Sheriffs Office
1900P2,LA EASTLAKE JUV S CRT,Sheriffs Office
1900P4,LA MINI AIRPORT BRNCH,Sheriffs Office
1900P6,LA L PADRINOS JUV CRT,Sheriffs Office
1900P7,LA SYLMAR JUV SUP,Sheriffs Office
1900Q3,LA S BAY TORRANCE CRT,Sheriffs Office
1900Q5,LA VAN NUYS MUNI,Sheriffs Office
1900Q8,LA WHITTIER MUNI CRT,Sheriffs Office
1900Q9,LA CHATSWORTH COURT,Sheriffs Office
1900R7,LA CERRITOS,Sheriffs Office
1900S1,LA DEPT NINE FIVE SUP,Sheriffs Office
1900S3,LA KENYON JUV SUP,Sheriffs Office
1900T1,LA SANTA ANITA MUNI,Sheriffs Office
1900T2,LA SNTA MONICA SUPMUN,Sheriffs Office
1900T4,LA SOUTH GATE MUNI,Sheriffs Office
1900T6,LA VAN NUYS SUP,Sheriffs Office
1900T7,LA WEST LA MUNI,Sheriffs Office
1900U5,LA COMM ORNTD POL BUR,Sheriffs Office
1900V3,LA CENTURY,Sheriffs Office
1900W9,LA PALMDALE,Sheriffs Office
1900X0,LA SAN PEDRO MUNI,Sheriffs Office
1900X1,LA LYNWOOD MUNI,Sheriffs Office
1900X2,LA MALIBU SUP MUNI,Sheriffs Office
1900X3,LA LA METRO MUNI,Sheriffs Office
1900X4,LA NEW HALL VLNCIA MC,Sheriffs Office
1900X5,LA NORWALK SUP,Sheriffs Office
1900X6,LA PASADENA MUNI,Sheriffs Office
1900X7,LA POMONA MUNI,Sheriffs Office
1900X8,LA POMONA SUP,Sheriffs Office
1900X9,LA RIO HONDO MUNI,Sheriffs Office
1900Y0,LA LOS CERRITOS MUNI,Sheriffs Office
1900Y1,LA CULVER CTY SUPMUNI,Sheriffs Office
1900Y2,LA DOWNEY MUNI,Sheriffs Office
1900Y3,LA EAST LA MUNI,Sheriffs Office
1900Y4,LA EDELMAN CHLDRN SUP,Sheriffs Office
1900Y5,LA GLENDALE MUNI,Sheriffs Office
1900Y6,LA HOLLYWOOD MUNI,Sheriffs Office
1900Y7,LA HUNTINGTON PK MUNI,Sheriffs Office
1900Y8,LA INGLEWOOD MUNI,Sheriffs Office
1900Y9,LA LONG BEACH MUNI,Sheriffs Office
1900Z0,LA ALHAMBRA MUNI,Sheriffs Office
1900Z1,LA ANTELOPE VLLY MUNI,Sheriffs Office
1900Z2,LA BVRLY HILL SUPMUNI,Sheriffs Office
1900Z3,LA BURBANK MUNI,Sheriffs Office
1900Z4,LA CNTRL ARRAIGN SUP,Sheriffs Office
1900Z5,LA CITRUS MUNI,Sheriffs Office
1900Z6,LA COMPTON MUNI,Sheriffs Office
1900Z7,LA CO CRT HSE SUPMUNI,Sheriffs Office
1900Z8,LA CRIMINAL CRTS BLDG,Sheriffs Office
190100,ALHAMBRA,Police Department
19013A,LOS ANGELES,District Attorney
19013B,LA PRETRIAL SERV,Probation Department
19013G,LOS ANGELES,Probation Department
19015M,METROPOLITAN STATE,Hospital
190200,ARCADIA,Police Department
19023G,LA ISO DOWNEY,Probation Department
19025G,GLENDALE,Youth Authority
190300,ARTESIA,Police Department
19033G,LA BARRY NIDORF JUV,Probation Department
19035C,LOS ANGELES,Youth Authority
19035G,LOS ANGELES PAROLE,Parole
19037Y,LA SOC SEC INSP GEN,Federal Board/Commission/Dept/Bureau/Agy
190400,AVALON,Police Department
19043C,LANCASTER,Youth Authority
19043G,LA E SAN FERNANDO VLY,Probation Department
19045C,NORWALK,Youth Authority
19045G,LOS ANGELES CO,Parole
19047Y,HUD OFC INSP GENERAL,Federal Board/Commission/Dept/Bureau/Agy
190500,AZUSA,Police Department
19053G,LA HARBOR,Probation Department
19055C,WHITTIER,Youth Authority
19055G,PAR COMM SRV PALMDALE,Parole
190600,BALDWIN PARK,Police Department
19063G,LA CENTINELA,Probation Department
19065C,CORR ADULT LOS ANG,State Department
19065D,CORR LOS ANGELES,State Department
190700,BELL,Police Department
19073G,LA LOS PADRINOS JUV,Probation Department
19075G,LA CO DIAMOND BAR,Parole
190800,BELLFLOWER,Police Department
19083G,LA FIRESTONE,Probation Department
19085G,PAR COMM SRV COMPTON,Parole
190900,BELL GARDENS,Police Department
19093G,LA EAST LOS ANGELES,Probation Department
190A00,PDLOS ANGELES,Community College
190B00,PD LOS ANGELES,Unified School District
190C00,PD EL CAMINO TORRANCE,Community College
190F00,INS FRAUD LA,State Department
190G00,LA CO HOUSING AUTH PD,County Board/Commission/Dept.
190J00,LOS ANGELES,Airport Authority
190K00,PD LOS ANGELES,Transit District
190N00,BURBANK,Airport Authority
190P00,PD LONG BEACH,Community College
190R00,PD PASADENA,Community College
190S00,CONSUMER AFF GLENDALE,State Department
190T00,FISH GAME LONG BEACH,State Department
190V00,LOS ANGELES,Coroner
190Y00,CORP INV BUS OVERSGHT,State Department
191000,BEVERLY HILLS,Police Department
19103G,LA FOOTHILL,Probation Department
19105C,CORR LANCASTER,State Department
19105G,PAR COMM SRV EL MONTE,Parole
19105Y,FRANCHISE TAX BOARD,State Agency
191100,BRADBURY ESTATES,Police Department
19113G,LA LONG BEACH,Probation Department
191200,BURBANK,Police Department
19123G,LA POMONA VLY,Probation Department
19125Y,SOC SRV COMM CARE INV,State Department
191300,CLAREMONT,Police Department
19133G,LA RIO HONDO,Probation Department
19135G,COMM SRV HUNTNGTN PRK,Parole
191400,COMMERCE,Police Department
19143G,LA SAN GABRIEL VLY,Probation Department
19145G,PAR COM SRV INGLEWOOD,Parole
19153G,LA SANTA MONICA,Probation Department
19155G,PAR COMM SRV PASADENA,Parole
191600,COVINA,Police Department
19163G,LA SOUTH CENTRAL,Probation Department
191700,CUDAHY,Police Department
19173G,LA CRENSHAW,Probation Department
19175G,PAR COMM SRV LA,Parole
191800,CULVER CITY,Police Department
19183G,LA INFO SYS DOWNEY,Probation Department
191900,DAIRY VALLEY,Police Department
191A9P,AMTRAK PD LOS ANGELES,Railroad
191D00,HEALTH SERVICES LA,State Department
191J00,LOTTERY SEC WHITTIER,State Commission
191L00,MTNS REC CNSRVTN AUTH,Park District
191M00,PD HOUSING AUTH LA,City Board/Commission/Dept.
191N00,PD BALDWIN PARK,Unified School District
191P00,PD CERRITOS,Community College
191S00,SOC SERV DIS EVAL LA,State Department
191T00,ABC LOS ANGELES,State Department
192000,DOWNEY,Police Department
19203G,LA ANTELOPE VLY,Probation Department
19205G,SANTE FE SPRINGS,Parole
192100,DUARTE,Police Department
19213G,LA IDC LOS ANGELES,Probation Department
19215G,COMM SERV COMPTON,Parole
192200,EL MONTE,Police Department
19223G,LA N HOLLYWOOD,Probation Department
192300,EL SEGUNDO,Police Department
19233G,LA WF ALHAMBRA,Probation Department
19235G,PAR COMM SRV VAN NUYS,Parole
192400,GARDENA,Police Department
19243G,LA CENTRAL JUV,Probation Department
19245G,PAROLE COMM SERV LA,Parole
192500,GLENDALE,Police Department
19251A,LOS ANGELES,City Attorney
19253G,LA INGLEWOOD MC,Probation Department
19255G,PAR COMM SERV POMONA,Parole
192600,GLENDORA,Police Department
19263G,LA VALENCIA,Probation Department
19265G,PAR COMM SRV COVINA,Parole
192700,HAWAIIAN GARDENS,Police Department
19273G,LA LA MADERA,Probation Department
19275G,COMM SERV LOS ANGELES,Parole
192800,HAWTHORNE,Police Department
19283G,LA CAMP HDQTRS,Probation Department
19285G,PAR COMM SRV LONG BCH,Parole
192900,HERMOSA BEACH,Police Department
19293J,LOS ANGELES OR DIV,Superior Court
19295G,COMM SRV WEST COVINA,Parole
192A00,LOS ANGELES ISD PSD,County Board/Commission/Dept.
192C00,PARKS REC LOS ANGELES,City Board/Commission/Dept.
192D00,LA PROTECT SVCS DIV,Department of Public Safety
192E00,GENERAL SRVS POLICE,City Board/Commission/Dept.
192M00,PD PASADENA,Unified School District
192N00,PD MUSEUM OF ART LA,County Board/Commission/Dept.
192P00,AVALON HARBOR DEPT,City Board/Commission/Dept.
192Q00,PD LOS ANGELES,Community College
192R00,PD POMONA,Unified School District
192S00,PD INGLEWOOD,Unified School District
192Z00,PD LA MISSION SYLMAR,Community College
193000,HIDDEN HILLS,Police Department
19305G,PAROLE COMPTON,Parole
193100,HUNTINGTON PARK,Police Department
193200,INDUSTRY,Police Department
193215,LA NORTH HOLLYWOOD,Police Department
193300,INGLEWOOD,Police Department
193400,IRWINDALE,Police Department
193500,LAKEWOOD,Police Department
193600,LA MIRADA,Police Department
193700,LA PUENTE,Police Department
193800,LA VERNE,Police Department
193900,LAWNDALE,Police Department
