code,agency,type
193C00,PD HARBOR COLLEGE,Community College
193D00,PD TRADE TECH COLLEGE,Community College
193E00,PD PIERCE COLLEGE,Community College
193F00,PD COMPTON,Unified School District
193G00,REDNDO BCH FIRE DP HP,Arson Division
193H00,LA CO FIRE DEPT INV,Arson Division
193I00,PD GLENDALE,Community College
193K9E,PD PACIFIC HARBOR,Railroad
194000,LOMITA,Police Department
194100,LONG BEACH,Police Department
194200,LOS ANGELES,Police Department
194201,LA CENTRAL DIVISION,Police Department
194202,LA RAMPART DIV REC,Police Department
194203,LA SW DIVISION REC,Police Department
194204,LA HOLLENBECK,Police Department
194205,LA HARBOR DIV REC,Police Department
194206,LA HOLLYWOOD DIV REC,Police Department
194207,LA WILSHIRE DIV REC,Police Department
194208,LA WEST LOS ANGELES,Police Department
194210,LA WEST VALLEY REC,Police Department
194211,LA NORTHEAST,Police Department
194212,LA SEVENTY SEVEN,Police Department
194213,LA NEWTON,Police Department
194214,LA PACIFIC DIV REC,Police Department
194216,LA FOOTHILL DIV REC,Police Department
194217,LA DEVONSHIRE DIV REC,Police Department
194218,LA SE DIVISION REC,Police Department
194219,LA MISSION,Police Department
194220,LA CENTRAL BUREAU,Police Department
194221,LA SOUTH BUREAU,Police Department
194264,LA OLYMPIC STATION,Police Department
194265,LA TOPANGA STATION,Police Department
194273,LA METRO JAIL,Police Department
194276,LA RECORDS AND ID,Police Department
194279,LA VALLEY JAIL,Police Department
194294,LA MEDIA RELATNS SECT,Police Department
194300,LYNWOOD,Police Department
194400,MANHATTAN BEACH,Police Department
194500,MAYWOOD,Police Department
194600,MONROVIA,Police Department
194700,MONTEBELLO,Police Department
194800,MONTEREY PARK,Police Department
194900,NORWALK,Police Department
195000,PALMDALE,Police Department
195100,PALOS VERDES ESTATES,Police Department
195200,PARAMOUNT,Police Department
195300,PASADENA,Police Department
195400,PICO RIVERA,Police Department
195500,POMONA,Police Department
195600,REDONDO BEACH,Police Department
195700,ROLLING HILLS,Police Department
195800,ROLLING HILLS ESTATE,Police Department
195900,ROSEMEAD,Police Department
196000,SAN DIMAS,Police Department
196100,SAN FERNANDO,Police Department
196200,SAN GABRIEL,Police Department
196300,SAN MARINO,Police Department
196400,SANTA FE SPRINGS,Police Department
196500,SANTA MONICA,Police Department
196600,SIERRA MADRE,Police Department
196700,SIGNAL HILL,Police Department
196800,SOUTH EL MONTE,Police Department
196900,SOUTH GATE,Police Department
19691A,CENTRL TRIAL BRNCH LA,City Attorney
197000,SOUTH PASADENA,Police Department
19701A,BAUCHET ST OFFICE LA,City Attorney
197100,TEMPLE CITY,Police Department
19711A,WEST LA OFFICE LA,City Attorney
197200,TORRANCE,Police Department
19721A,VAN NUYS OFFICE LA,City Attorney
197300,VERNON,Police Department
19731A,SAN PEDRO OFFICE LA,City Attorney
197400,WALNUT,Police Department
19741A,HILL ST OFFICE LA,City Attorney
197500,WEST COVINA,Police Department
19751A,HOLLYWOOD OFFICE LA,City Attorney
197600,WHITTIER,Police Department
19761A,NO VALLEY OFFICE LA,City Attorney
197700,CARSON,Police Department
19771A,PASADENA,City Attorney
197800,PD POMONA,State University
19781A,CITY PROSECUTOR L BCH,City Board/Commission/Dept.
197900,DMV LOS ANGELES CO,State Department
19801A,SANTA MONICA OFFC LA,City Attorney
198100,PD DOMINGUEZ HILLS,State University
198200,PD LONG BEACH,State University
198300,PD LOS ANGELES,State University
198400,PD NORTHRIDGE,State University
198600,PD LOS ANGELES,Park District
198700,FIRE DEPT ARSON IU LA,City Board/Commission/Dept.
198800,PORT OF LOS ANGELES,Police Department
199100,LOS ANGELES,Marshal
199400,LOS ANGELES,Department of Justice
199430,LA MEDI CAL FRAUD,Department of Justice
199700,PD LOS ANGELES,University
199701,MED CTR LOS ANGELES,University
199800,LOS ANGELES,State Police
199900,LOS ANGELES,Highway Patrol
199901,SOUTHERN DIVISION,Highway Patrol
199925,BALDWIN PARK,Highway Patrol
199930,SOUTH LOS ANGELES,Highway Patrol
199935,EAST LOS ANGELES,Highway Patrol
199940,NEWHALL,Highway Patrol
199945,ANTELOPE VALLEY,Highway Patrol
199950,SANTA FE SPRINGS,Highway Patrol
199965,WEST LOS ANGELES,Highway Patrol
199966,MALIBU,Highway Patrol
199975,ALTADENA,Highway Patrol
199980,WEST VALLEY,Highway Patrol
199990,CENTRAL LOS ANGELES,Highway Patrol
199999,OTHER LOS ANGELES CO,Reporting Agency
19A100,DMV INV COMPTON,State Department
19A300,POMONA FIRE DEPT,Arson Division
19A400,JOINT DRUG NORWALK,Narctotic Task Force
19A500,PD ANTELOPE,Community College
19A600,WELFARE FRAUD INV LA,County Board/Commission/Dept.
19A900,PD METRO STATE NORWLK,Hospital
19AA00,DMV INV ARLETA,State Department
200000,MADERA,Sheriffs Office
200001,MADERA,County Jail
200100,CHOWCHILLA,Police Department
20013A,MADERA,District Attorney
20013C,MADERA,Juvenile Detention
20013G,MADERA,Probation Department
20015C,CORR CHOWCHILLA,State Department
20015G,MADERA CO,Parole
200200,MADERA,Police Department
20023C,CORR MADERA,County Board/Commission/Dept.
20025C,CORR City Board/Commission/Dept.WF RECEP REC,State Department
20035C,CORR City Board/Commission/Dept.WF MAIN RECORD,State Department
20045C,CORR VALLEY WOMEN REC,State Department
20065C,CORR VALLEY WOMEN RCP,State Department
20073J,MADERA,Superior Court
209100,MADERA,Marshal
209950,MADERA,Highway Patrol
209956,OAKHURST,Highway Patrol
209999,OTHER MADERA CO,Reporting Agency
210000,SAN RAFAEL,Sheriffs Office
210001,SAN RAFAEL,County Jail
210100,BELVEDERE,Police Department
21013A,SAN RAFAEL,District Attorney
21013G,SAN RAFAEL,Probation Department
21015C,SAN QUENTIN,State Prison
21015G,MARIN CO,Parole
21017G,SAN RAFAEL,Probation Department
210200,CORTE MADERA,Police Department
210300,FAIRFAX,Police Department
210500,MILL VALLEY,Police Department
210600,NOVATO,Police Department
210700,ROSS,Police Department
210900,SAN RAFAEL,Police Department
211000,SAUSALITO,Police Department
211100,TIBURON,Police Department
211300,PD MARIN,Community College
211400,PARKS REC MARIN DIST,State Department
211500,WELFARE SAN RAFAEL,County Board/Commission/Dept.
211600,MARIN CO MAJOR CRIMES,Task Force
211700,CENTRAL MARIN AUTH,Police Department
219100,SAN RAFAEL,Marshal
219900,CORTE MADERA,Highway Patrol
219950,MARIN,Highway Patrol
219999,OTHER MARIN CO,Reporting Agency
220000,MARIPOSA,Sheriffs Office
220001,MARIPOSA,County Jail
220100,FORESTRY MAD MARI MER,State Department
22013A,MARIPOSA,District Attorney
22013G,MARIPOSA,Probation Department
22015C,MARIPOSA,Youth Authority
22015G,MARIPOSA CO,Parole
229100,MARIPOSA,Marshal
229955,MARIPOSA,Highway Patrol
229999,OTHER MARIPOSA CO,Reporting Agency
230000,UKIAH,Sheriffs Office
230001,UKIAH,County Jail
230100,FORT BRAGG,Police Department
23013A,UKIAH,District Attorney
23013G,UKIAH,Probation Department
23013Y,MENDOCINO CO HHS SIU,County Board/Commission/Dept.
23015G,MENDOCINO CO,Parole
230200,POINT ARENA,Police Department
230300,UKIAH,Police Department
230400,WILLITS,Police Department
230600,PARKS REC MENDOCINO,State Department
230700,MENDOCINO CO,Narctotic Task Force
23123J,MENDOCINO,Superior Court
239100,UKIAH,Marshal
239950,UKIAH,Highway Patrol
239999,OTHER MENDOCINO CO,Reporting Agency
240000,MERCED,Sheriffs Office
240001,MERCED,County Jail
240100,ATWATER,Police Department
24013A,MERCED,District Attorney
24013G,MERCED,Probation Department
24015G,MERCED CO,Parole
240200,DOS PALOS,Police Department
240300,GUSTINE,Police Department
240400,LIVINGSTON,Police Department
240500,LOS BANOS,Police Department
240600,MERCED,Police Department
241000,PARKS REC FOUR RIVERS,State Department
241200,PD MERCED,University
249100,MERCED,Marshal
249960,MERCED,Highway Patrol
249961,LOS BANOS,Highway Patrol
249999,OTHER MERCED CO,Reporting Agency
250000,ALTURAS,Sheriffs Office
250001,ALTURAS,County Jail
250100,ALTURAS,Police Department
25013A,ALTURAS,District Attorney
25013G,ALTURAS,Probation Department
25015G,MODOC CO,Parole
259100,ALTURAS,Marshal
259970,ALTURAS,Highway Patrol
259999,OTHER MODOC CO,Reporting Agency
260000,BRIDGEPORT,Sheriffs Office
260001,BRIDGEPORT,County Jail
260100,MAMMOTH LAKES,Police Department
26013A,BRIDGEPORT,District Attorney
26013G,BRIDGEPORT,Probation Department
26015G,MONO CO,Parole
269100,BRIDGEPORT,Marshal
269920,BRIDGEPORT,Highway Patrol
269925,BRIDGEPRT,Highway Patrol
269999,OTHER MONO CO,Reporting Agency
270000,SALINAS,Sheriffs Office
270001,SALINAS,County Jail
270003,MONTEREY,Sheriffs Office
270100,CARMEL,Police Department
27013A,SALINAS,District Attorney
27013G,SALINAS,Probation Department
27015C,CORR SOLEDAD,State Department
27015D,SOLEDAD,State Prison
27015G,MONTEREY CO,Parole
270200,DEL REY OAKS,Police Department
27023A,MONTEREY,District Attorney
27025C,SALINAS VALLEY,State Prison
27027G,MONTEREY,Probation Department
270300,GONZALES,Police Department
270400,GREENFIELD,Police Department
27043A,KING CITY,District Attorney
270500,KING CITY,Police Department
270600,MONTEREY,Police Department
270700,PACIFIC GROVE,Police Department
270800,SALINAS,Police Department
270900,SAND CITY,Police Department
271000,SEASIDE,Police Department
271100,SOLEDAD,Police Department
271200,MARINA,Police Department
271400,MONTEREY,Airport Authority
271700,PARKS REC MONTEREY,State Department
271900,PD MONTEREY BAY,State University
279100,SALINAS,Marshal
279900,SALINAS,Highway Patrol
279930,MONTEREY,Highway Patrol
279935,KING CITY,Highway Patrol
279999,OTHER MONTEREY CO,Reporting Agency
280000,NAPA,Sheriffs Office
280001,NAPA,County Jail
280100,CALISTOGA,Police Department
28013A,NAPA,District Attorney
28013G,NAPA,Probation Department
28013Y,DEPT HHS SIU NAPA CO,County Board/Commission/Dept.
28015G,NAPA CO,Parole
28015M,NAPA,Hospital
280200,NAPA,Police Department
28023C,NAPA CO CORRECTIONS,County Board/Commission/Dept.
280300,SAINT HELENA,Police Department
28033G,NAPA CO,Probation Department
280400,YOUNTVILLE,Police Department
28043G,NAPA CO JUV HALL,Probation Department
280500,F G YOUNTVILLE,State Department
280800,NAPA STATE PD,Hospital
280900,PD NAPA VALLEY,Community College
281000,COMPTR CRIMES TF N CA,Task Force
28119E,NAPA VALLEY PD,Railroad
289100,NAPA,Marshal
289925,NAPA,Highway Patrol
289999,OTHER NAPA CO,Reporting Agency
290000,NEVADA CITY,Sheriffs Office
290001,NEVADA CITY,County Jail
290010,NEVADA CO TRUCKEE,Sheriffs Office
290100,GRASS VALLEY,Police Department
29013A,NEVADA CITY,District Attorney
29013G,NEVADA CITY,Probation Department
29013J,NEVADA,Superior Court
29015C,NEVADA CITY,Youth Authority
29015G,NEVADA CO,Parole
290200,NEVADA CITY,Police Department
290500,SOC SRV SIU NEVADA CO,County Board/Commission/Dept.
290800,TRUCKEE,Police Department
299100,NEVADA CITY,Marshal
299922,TRUCKEE,Highway Patrol
299930,GRASS VALLEY,Highway Patrol
299999,OTHER NEVADA CO,Reporting Agency
300000,SANTA ANA,Sheriffs Office
300001,SANTA ANA,County Jail
300076,SANTA ANA,Narctotic Task Force
300091,ORANGE CO FIRE INV,County Board/Commission/Dept.
300100,ANAHEIM,Police Department
30013A,SANTA ANA,District Attorney
30013G,SANTA ANA,Probation Department
30017B,PRETRIAL SRV SNTA ANA,Federal District Court
30017G,SANTA ANA,Probation Department
300200,BREA,Police Department
30025G,ORANGE CO,Parole
30027Y,SOC SEC ADM INSP GEN,Federal Board/Commission/Dept/Bureau/Agy
300300,BUENA PARK,Police Department
300400,COSTA MESA,Police Department
300500,CYPRESS,Police Department
30055G,PAR COMM SRV SNTA ANA,Parole
300600,LA PALMA,Police Department
300700,FOUNTAIN VALLEY,Police Department
300800,FULLERTON,Police Department
300900,GARDEN GROVE,Police Department
30093C,SANTA ANA,Youth Authority
301000,HUNTINGTON BEACH,Police Department
301100,LAGUNA BEACH,Police Department
301200,LA HABRA,Police Department
301300,LOS ALAMITOS,Police Department
301400,NEWPORT BEACH,Police Department
301430,NEWPORT BEACH REC,Police Department
301500,ORANGE,Police Department
301600,PLACENTIA,Police Department
301700,SAN CLEMENTE,Police Department
301800,SAN JUAN CAPISTRANO,Police Department
301900,SANTA ANA,Police Department
302000,SEAL BEACH,Police Department
302100,STANTON,Police Department
302200,TUSTIN,Police Department
302300,VILLA PARK,Police Department
302400,WESTMINSTER,Police Department
302500,YORBA LINDA,Police Department
302600,IRVINE,Police Department
302700,PD FULLERTON,State University
303000,INS FRAUD GARDN GROVE,State Department
303100,ORANGE CO FIRE INVS,County Board/Commission/Dept.
303200,PARK REC ORANGE COAST,State Department
303700,PD FAIRVIEW,Hospital
304000,HEALTH SERV SANTA ANA,State Department
304100,DMV INV FULLERTON,State Department
304400,CONTRACTORS BUENA PK,State Board
304500,EMP DEV ANAHEIM,State Department
304600,PD SANTA ANA,Unified School District
304700,ORANGE FIRE ARSON INV,Arson Division
305200,SANTA ANA ARSON INV,Arson Division
309100,SANTA ANA,Marshal
309400,BNE SANTA ANA,Department of Justice
309600,PD IRVINE VALLEY,Community College
309700,PD IRVINE,University
309970,WESTMINSTER,Highway Patrol
309975,SANTA ANA,Highway Patrol
309990,CAPISTRANO,Highway Patrol
309999,OTHER ORANGE CO,Reporting Agency
30A100,PD SADDLEBACK,Community College
310000,AUBURN,Sheriffs Office
310001,AUBURN,County Jail
310002,PLACER CO N LK TAHOE,Sheriffs Office
310003,PLACER CO AUBURN,Sheriffs Office
310014,PLACER CO LOOMIS,Sheriffs Office
310021,PLACER CO ROSEVILLE,Sheriffs Office
310100,AUBURN,Police Department
31013A,AUBURN,District Attorney
31013G,AUBURN,Probation Department
31015G,PLACER CO,Parole
310200,COLFAX,Police Department
310300,LINCOLN,Police Department
31033A,PLACER CO FAM SUPPORT,District Attorney
310400,ROCKLIN,Police Department
310500,ROSEVILLE,Police Department
310700,PARKS REC SIERRA DIST,State Department
310800,PLACER CO,Narctotic Task Force
310900,WELFARE AUBURN,County Board/Commission/Dept.
319100,AUBURN,Marshal
319920,AUBURN,Highway Patrol
319921,GOLD RUN,Highway Patrol
319999,OTHER PLACER CO,Reporting Agency
320000,QUINCY,Sheriffs Office
320001,QUINCY,County Jail
320100,PORTOLA,Police Department
32013A,QUINCY,District Attorney
32013G,QUINCY,Probation Department
32015G,PLUMAS CO,Parole
32023J,PLUMAS,Superior Court
320300,WELFARE FRAUD QUINCY,County Board/Commission/Dept.
329100,QUINCY,Marshal
329965,QUINCY,Highway Patrol
329999,OTHER PLUMAS CO,Reporting Agency
330000,RIVERSIDE,Sheriffs Office
330001,RIVERSIDE,County Jail
330003,RIVERSIDE PERRIS,Sheriffs Office
330004,RIVERSIDE JURUPA VLLY,Sheriffs Office
330027,RIVERSIDE CO CAL ID,Sheriffs Office
330040,RIVERSIDE PALM DESERT,Sheriffs Office
330046,RIVERSIDE INDIO,Sheriffs Office
330050,ORANGE CO CAL ID,Sheriffs Office
330053,RIVERSIDE CABAZON,Sheriffs Office
330060,RIVERSIDE LK ELSINORE,Sheriffs Office
330067,RIVERSIDE TEMECULA,Sheriffs Office
330071,RIVERSIDE HEMET,Sheriffs Office
330094,MORENO VALLEY,Police Department
330100,BANNING,Police Department
33013A,RIVERSIDE,District Attorney
33013G,RIVERSIDE,Probation Department
33015C,CORR CORONA,State Department
33015G,RIVERSIDE CO,Parole
33017B,PRETRIAL SRV RIVERSDE,Federal District Court
330200,BEAUMONT,Police Department
33025C,CORR FRONTERA,State Department
330300,BLYTHE,Police Department
33033G,RIVERSIDE CO,Probation Department
330400,CABAZON,Police Department
33045C,CORR CHUCKAWALLA VLY,State Department
330500,COACHELLA,Police Department
33055C,CORR CRC FEL RECORDS,State Department
330600,DESERT HOT SPRINGS,Police Department
33063G,RIVERSDE CO INDIO JUV,Probation Department
33065C,CORR IRONWOOD,State Department
330700,ELSINORE,Police Department
33073A,BLYTHE,District Attorney
33075C,CORR IRONWOOD RECORDS,State Department
330800,HEMET,Police Department
33083G,ADULT DIV HEMET,Probation Department
330900,INDIO,Police Department
33093G,BANNING,Probation Department
331000,NORCO,Police Department
331100,PALM SPRINGS,Police Department
331200,PERRIS,Police Department
331300,RIVERSIDE,Police Department
331400,SAN JACINTO,Police Department
331500,CORONA,Police Department
33153G,RVRSIDE SOUTHWEST JUV,Probation Department
331600,INDIAN WELLS,Police Department
33163G,RIVERSIDE PERRIS,Probation Department
33173G,RIVERSIDE INDIO,Probation Department
332300,WELFARE RIVERSIDE,County Board/Commission/Dept.
332400,PARKS REC INLAND EMPR,State Department
332500,CATHEDRAL CITY,Police Department
334200,MURRIETA,Police Department
334500,CONSUMR AFF MB IU RIV,State Department
334600,RIVERSIDE FIRE DEPT,Arson Division
334700,PD MT JACINTO COLLEGE,Community College
339100,RIVERSIDE,Marshal
339400,RIVERSIDE,Drug Enforcement Unit/Administration
339700,PD RIVERSIDE,University
339930,INDIO,Highway Patrol
339935,RANCHO CALIFORNIA,Highway Patrol
339940,RIVERSIDE,Highway Patrol
339955,SAN GORGONIO PASS,Highway Patrol
339960,BLYTHE,Highway Patrol
339985,TEMECULA,Highway Patrol
339999,OTHER RIVERSIDE CO,Reporting Agency
340000,SACRAMENTO,Sheriffs Office
340002,SACRAMENTO,County Jail
340040,SACTO MAIN JAIL,Sheriffs Office
340045,SACTO BRANCH JAIL,Sheriffs Office
340100,FOLSOM,Police Department
34011A,SACRAMENTO CITY,District Attorney
34013A,SACRAMENTO,District Attorney
34013G,SACRAMENTO,Probation Department
34015C,FOLSOM,State Prison
34015D,CORR ADULT SACRAMENTO,State Department
34015E,CORR HQ SACRAMENTO,State Department
34015F,CORRECTIONS,State Department
34015G,CORR PAR COMM SRV SAC,State Department
34015H,SACRAMENTO CO,Parole
34015Y,WSTRN STATES INFO NET,NonProfit Consortium or Public Authority
34017B,PRETRIAL SERVICES SAC,Federal District Court
34017G,PROBATION SACRAMENTO,Federal Board/Commission/Dept/Bureau/Agy
340200,GALT,Police Department
34023G,JUV DIV SACRAMENTO,Probation Department
34025C,SACRAMENTO,Youth Authority
34025D,PERKINS,Youth Authority
34025G,YOUTH AUTHORITY,Parole
340300,ISLETON,Police Department
34035C,CORR SACRAMENTO,State Department
34035G,PAR COMM SRV SACRMNTO,Parole
340400,SACRAMENTO,Police Department
34045C,CORR NEW FOLSOM,State Department
34045G,PRISON TERMS INV SAC,State Board
340500,FORESTRY SACRAMENTO,State Department
34055G,CORR PAROLE SERV SAC,State Department
34065C,CORR SACRAMENTO REC,State Department
340700,DMV INVEST SERV SAC,State Department
340740,MOTOR VEHICLES SAC,State Department
340800,PD SACRAMENTO,State University
340A00,HEALTH SERV TOXIC SAC,State Department
340C00,PARKS REC SACRAMENTO,County Board/Commission/Dept.
340D00,EDD INV SACRAMENTO,State Department
340E00,PD LOS RIOS,Community College
340F00,PD AMERICAN RIVER,Community College
340G00,SENATE SGT AT ARMS,State Agency
340H00,ELK GROVE,Police Department
340P00,SACTO METRO ARSON INV,Arson Division
341000,CONSUMR AFFR INV SAC,State Department
341100,ARSON BOMB INV SAC,Fire Marshal
341200,PARKS REC SACRAMENTO,State Department
341201,PARK REC GOLD FIELDS,State Department
341300,INS FRAUD SAC,State Department
34135G,SACRAMENTO SOUTH,Youth Authority
341400,PD TWIN RIVERS UNIFID,Unified School District
341600,HEALTH SRVS INVEST,State Department
341800,SACTO MEDI CAL FRAUD,Department of Justice
341900,FISH GAME SACTO,State Department
342000,CAL EXPO SACRAMENTO,Police Department
342100,WELFARE FRAUD SAC,County Board/Commission/Dept.
342200,PARKS REC CAPITAL DST,State Department
342400,CA EMERG MGT AGCY SAC,State Agency
342500,CONTRACTORS LIC SACTO,State Board
342600,LOTTERY SECURITY SAC,State Commission
342800,MEDICAL QUALITY ASSUR,State Board
343000,ABC SACRAMENTO,State Department
343300,PARKS REC TWIN CITIES,State Department
343400,MENTAL HEALTH INV SAC,State Department
343500,SOCIAL SERVICES SAC,State Department
343600,SACTO FIRE DEPT INV,City Board/Commission/Dept.
343800,DMV INV SACRAMENTO,State Department
343900,DMV INV CARMICHAEL,State Department
343A00,CORPORATIONS INV SAC,State Department
344200,SACRAMENTO CO,Coroner
344300,HLTH SERV FD DRUG SAC,State Department
344400,ST CONTROLLER INV SAC,State Department
344500,SOC SRV FRAUD SACTO,State Department
344600,SEC OF ST SACRAMENTO,State Department
344900,STATE ASSEMBLY,State Agency
345100,FULTON ELCAMINO REC,Park District
345200,SACTO INSP GENERAL IN,State Department
345300,PD ELK GROVE UNIFIED,Unified School District
345400,PD SACRAMENTO CITY,Community College
349100,SACRAMENTO,Marshal
349400,SACRAMENTO,Department of Justice
349410,SACRAMENTO OCR,Department of Justice
349420,SACRAMENTO III APP,Department of Justice
349425,DIV FIREARMS SAC,Department of Justice
349430,SAC MEDI CAL FRAUD,Department of Justice
349431,SAC FAC PROTECT UNIT,Department of Justice
349436,CA DOJ,Department of Justice
349453,REG MEGANS LAW WEBSTE,Department of Justice
349466,GAMBLING CTRL SAC,Department of Justice
349469,REG SEX ARSON UNIT,Department of Justice
349481,REG ASSESSMENT UNIT,Department of Justice
349496,BNE SACRAMENTO,Department of Justice
349600,CITRUS HEIGHTS,Police Department
349700,MED CTR SACRAMENTO,University
349800,SACRAMENTO,State Police
349900,SACRAMENTO,Highway Patrol
349901,VALLEY DIVISION,Highway Patrol
349912,VALLEY DIV AUTO THFT,Highway Patrol
349914,COMM CENTER SACTO,Highway Patrol
349950,NORTH SACRAMENTO,Highway Patrol
349952,SOUTH SACRAMENTO,Highway Patrol
349960,RANCHO CORDOVA AREA,Highway Patrol
349965,SACRAMENTO INV,Highway Patrol
349981,SAC INTERNAL AFFAIRS,Highway Patrol
349999,OTHER SACRAMENTO CO,Reporting Agency
350000,HOLLISTER,Sheriffs Office
350001,HOLLISTER,County Jail
350100,HOLLISTER,Police Department
35013A,HOLLISTER,District Attorney
35013G,HOLLISTER,Probation Department
35015G,SAN BENITO CO,Parole
350200,SAN JUAN BAUTISTA,Police Department
350400,PARKS REC HOLLISTER,State Department
350600,HOLLISTER,Narctotic Task Force
359100,HOLLISTER,Marshal
359900,HOLLISTR GILROY,Highway Patrol
359999,OTHER SAN BENITO CO,Reporting Agency
360000,SAN BERNARDINO,Sheriffs Office
360001,SAN BERNARDINO,County Jail
360002,SAN BERDO CHINO HILLS,Sheriffs Office
360003,SAN BERDO FONTANA,Sheriffs Office
360004,SAN BERDO YUCAIPA,Sheriffs Office
360005,SAN BERDO TWIN PEAKS,Sheriffs Office
360006,SAN BERDO BIG BEAR,Sheriffs Office
360007,SAN BERDO VICTOR VLY,Sheriffs Office
360008,SAN BERDO BARSTOW,Sheriffs Office
360009,SAN BERDO MORONGA,Sheriffs Office
360010,SN BERDO COLORADO RIV,Sheriffs Office
360011,S BERDO RCH CUCAMONGA,Sheriffs Office
360024,SAN BERDO ADELANTO,Sheriffs Office
360032,GLEN HELEN REHAB CTR,Rehabilitation Center
360049,SAN BERDO HESPERIA,Sheriffs Office
360050,SAN BERDO HIGHLAND,Sheriffs Office
360063,SAN BERDO APPLE VLY,Sheriffs Office
