code,agency,type
360066,SANBERDO VICTORVILLE,Sheriffs Office
360100,BARSTOW,Police Department
36013G,SAN BERNARDINO,Probation Department
36013K,SAN BERNARDINO,Coroner
36015C,CHINO,State Prison
36015D,CORR CHINO,State Department
36015M,PATTON,Hospital
360200,CHINO,Police Department
36023A,SAN BERNARDINO,District Attorney
36025C,CHINO,Youth Authority
36025G,SAN BERNARDINO CO,Parole
360300,COLTON,Police Department
36033G,VICTORVILLE,Probation Department
36035C,SAN BERNARDINO,Youth Authority
360400,FONTANA,Police Department
36043G,ONTARIO,Probation Department
36045C,CORR CHINO WEST,State Department
360500,MONTCLAIR,Police Department
36055C,CORR CHINO CENTRAL,State Department
360600,NEEDLES,Police Department
36063A,RANCHO CUCAMONGA,District Attorney
36065C,CORR CHINO EAST,State Department
360700,ONTARIO,Police Department
36073A,VICTORVILLE,District Attorney
360800,REDLANDS,Police Department
36085C,CORR CIW FRONTERA REC,State Department
360900,RIALTO,Police Department
36093C,CORR ADELANTO,City Board/Commission/Dept.
361000,SAN BERNARDINO,Police Department
361100,UPLAND,Police Department
361200,VICTORVILLE,Police Department
361300,ADELANTO,Police Department
361400,PD SAN BERNARDINO,State University
361500,LOMA LINDA,Police Department
361900,WELFARE SAN BERDO,County Board/Commission/Dept.
362300,PD SAN BERNARDINO,Unified School District
36253J,SAN BERNARDINO,Superior Court
36263J,BARSTOW,Superior Court
362700,FONTANA FIRE AGY INV,County Board/Commission/Dept.
36273J,BIG BEAR,Superior Court
362800,SAN BERDO FIRE SP DST,County Board/Commission/Dept.
36283J,JOSHUA TREE,Superior Court
36293J,NEEDLES,Superior Court
36303J,RANCHO CUCAMONGA,Superior Court
36313J,VICTORVILLE,Superior Court
363700,RANCHO CUCAMONGA,Arson Division
364200,PD HESPERIA,Unified School District
364500,FIRE DPT MONTCLAIR,City Board/Commission/Dept.
364800,NEWBERRY SPRINGS,Arson Division
364900,PD SNOWLINE SCH,Unified School District
365000,PD FONTANA,Unified School District
365100,FORESTRY FIRE SN BRDO,State Department
365200,FIRE DP ARSN REDLANDS,City Board/Commission/Dept.
365300,FIRE DPT IU SAN BERDO,City Board/Commission/Dept.
365700,PD PATTON,Hospital
365800,PD VICTOR VALLEY,Community College
369100,SAN BERNARDINO,Marshal
369600,DMV INV RCH CUCAMONGA,State Department
369900,SN BERNARDINO,Highway Patrol
369901,INLAND DIVISION,Highway Patrol
369934,NEEDLES,Highway Patrol
369935,BARSTOW,Highway Patrol
369950,VICTORVILLE,Highway Patrol
369955,RANCHO CUCAMONGA,Highway Patrol
369960,SAN BERNARDINO,Highway Patrol
369965,ARROWHEAD,Highway Patrol
369970,MORONGO BASIN,Highway Patrol
369980,NEEDLS,Highway Patrol
369999,OTHER S BERNARDINO CO,Reporting Agency
36A100,PD APPLE VALLEY,Unified School District
370000,SAN DIEGO,Sheriffs Office
370001,SAN DIEGO CO,Sheriffs Office
370003,SAN DIEGO SANTEE,Sheriffs Office
370004,SAN DIEGO VISTA,Sheriffs Office
370005,SAN DIEGO LEMON GROVE,Sheriffs Office
370006,SAN DIEGO ENCINITAS,Sheriffs Office
370007,SAN DIEGO,Narctotic Task Force
370011,SAN DIEGO POWAY,Sheriffs Office
370012,SAN DIEGO,County Jail
370019,SAN DIEGO ALPINE STN,Sheriffs Office
370021,SD LAS COLINAS DET,Sheriffs Office
370042,SAN DIEGO IMPERIAL,Sheriffs Office
370089,SAN DIEGO LIC DIV,Sheriffs Office
370095,SAN DIEGO SAN MARCOS,Sheriffs Office
370100,CARLSBAD,Police Department
37013B,REV AND REC SAN DIEGO,County Board/Commission/Dept.
37013G,SAN DIEGO,Probation Department
37015C,CORR SAN DIEGO,State Department
37015G,SAN DIEGO CO,Parole
37017B,PRETRIAL SRV SN DIEGO,Federal District Court
37017Y,SAN DIEGO INSP GEN,Federal Board/Commission/Dept/Bureau/Agy
370200,CHULA VISTA,Police Department
37021Z,SAN DIEGO COUNTY,Medical Examiner
37023A,SAN DIEGO,District Attorney
37025C,CORR RJ DONOVAN RECEP,State Department
37027G,SAN DIEGO,Probation Department
370300,CORONADO,Police Department
37033G,ADULT INST SAN DIEGO,Probation Department
370400,DEL MAR,Police Department
37045G,PAR COMM SRV SN DIEGO,Parole
370500,EL CAJON,Police Department
37053G,SAN DIEGO CO JUV,Probation Department
370600,ESCONDIDO,Police Department
37061A,SAN DIEGO,City Attorney
370700,IMPERIAL BEACH,Police Department
370800,LA MESA,Police Department
370900,NATIONAL CITY,Police Department
37095G,OCEANSIDE,Parole
371000,OCEANSIDE,Police Department
371100,SAN DIEGO,Police Department
37113G,SAN DIEGO EAST MESA,Probation Department
37115G,PAR COM SRV ESCONDIDO,Parole
371200,SAN MARCOS,Police Department
371300,VISTA,Police Department
371400,PD SAN DIEGO,State University
371500,SAN DIEGO HARBOR PD,Port/Harbor
371600,INSUR FRAUD SAN DIEGO,State Department
371800,PDSOUTHWESTERN COLL,Community College
372100,PD SAN DIEGO,Unified School District
372200,PARK REC COLORADO DES,State Department
372400,PARKS REC OCOTILLO WL,State Department
372500,PARKS REC CARLSBAD,State Department
372600,MISSION BAY HRBR PTRL,City Board/Commission/Dept.
372800,PD SAN DIEGO,Community College
372900,WELFARE INV SAN DIEGO,County Board/Commission/Dept.
373000,HEALTH SERV SAN DIEGO,State Department
373100,DMV INV SAN DIEGO,State Department
373200,PD SAN MARCOS,State University
373400,PD EL CAJON,Community College
373500,SAN DIEGO INSP GEN IN,State Department
379100,SAN DIEGO,Marshal
379400,SAN DIEGO,Department of Justice
379700,PD SAN DIEGO,University
379800,SAN DIEGO,State Police
379901,BORDER DIVISION,Highway Patrol
379945,SAN DIEGO,Highway Patrol
379950,OCEANSIDE,Highway Patrol
379980,EL CAJON,Highway Patrol
379999,OTHER SAN DIEGO CO,Reporting Agency
37A700,PD PALOMAR,Community College
37A800,DEL MAR PARK RANGERS,City Board/Commission/Dept.
37A900,FORESTRY FIRE PROT SD,State Department
380000,SAN FRANCISCO,Sheriffs Office
380002,SAN FRANCISCO,County Jail
380100,SAN FRANCISCO,Police Department
38011A,SAN FRANCISCO,City Attorney
38013A,SAN FRANCISCO,District Attorney
38013G,SAN FRANCISCO,Probation Department
38015G,SAN FRANCISCO CO,Parole
380200,SAN FRAN HARBOR PD,Port/Harbor
38023G,SAN FRANCISCO JUV,Probation Department
38027A,US ATTORNEY SAN FRAN,Department of Justice
380300,PD SAN FRANCISCO,State University
380301,MED CTR SAN FRANCISCO,University
38043C,SAN FRANCISCO,Youth Authority
381100,PROTCT SRV INV SF PUC,County Board/Commission/Dept.
381200,SAN FRANCISCO,Medical Examiner
381300,INSUR FRAUD SAN FRAN,State Department
381600,HASTINGS LAW SAN FRAN,University
381700,PD SAN FRANCISCO,Community College
382100,HUMAN SRVS SPEC INVES,County Board/Commission/Dept.
389100,SAN FRANCISCO,Marshal
389400,SAN FRANCISCO,Department of Justice
389410,BOCity Board/Commission/Dept.I SAN FRANCISCO,Department of Justice
389430,SAN FRAN MEDI CAL FRD,Department of Justice
389700,PD SAN FRANCISCO,University
389935,SAN FRANCISCO,Highway Patrol
389999,OTHER S FRANCISCO CO,Reporting Agency
38PRJV,SN FRANCISCO JUV,Probation Department
390000,STOCKTON,Sheriffs Office
390001,STOCKTON,County Jail
390100,ESCALON,Police Department
39013G,STOCKTON,Probation Department
39015C,CORR TRACY,State Department
39015D,TRACY,Youth Authority
390200,LODI,Police Department
39023A,STOCKTON,District Attorney
39023G,CORR PAR COMM SRV SKN,State Department
39025C,STOCKTON,Youth Authority
39025G,SAN JOAQUIN CO,Parole
390300,MANTECA,Police Department
39035C,NORTHERN STOCKTON,Youth Authority
390400,RIPON,Police Department
39045G,CORR HC FAC STOCKTON,State Department
390500,STOCKTON,Police Department
390600,TRACY,Police Department
39065C,CORR STOCKTON,State Department
39075C,TRACY,State Prison
39075G,CORR PA COMM SRV STKN,State Department
390800,PD STOCKTON,Community College
391100,STOCKTON PORT PD,Port/Harbor
391500,PD STOCKTON,Unified School District
391600,HUMAN SRV INV STOCKTN,County Board/Commission/Dept.
391800,SAN JOAQUIN CO,Narctotic Task Force
392200,STOCKTON,Arson Division
392300,PD STOCKTON,University
399100,STOCKTON,Marshal
399965,STOCKTON,Highway Patrol
399966,TRACY,Highway Patrol
399999,OTHER SAN JOAQUIN CO,Reporting Agency
400000,SAN LUIS OBISPO,Sheriffs Office
400001,SAN LUIS OBISPO,County Jail
400100,ARROYO GRANDE,Police Department
40013A,SAN LUIS OBISPO,District Attorney
40013G,SAN LUIS OBISPO,Probation Department
40013Y,HOUS AUTH FRD INV SLO,County Board/Commission/Dept.
40015C,CORR SAN LUIS OBISPO,State Department
40015G,SAN LUIS OBISPO CO,Parole
40015M,ATASCADERO STATE,Hospital
400200,GROVER BEACH,Police Department
40023Y,WELFARE FRAUD SIU SLO,County Board/Commission/Dept.
40025C,PASO ROBLES,Youth Authority
400300,MORRO BAY,Police Department
400400,PASO ROBLES,Police Department
400500,PISMO BEACH,Police Department
40055C,CORR MENS COLONY WEST,State Department
400600,SAN LUIS OBISPO,Police Department
400700,PD SAN LUIS OBISPO,State University
400800,ATASCADERO,Police Department
401000,PK REC S LUIS OBISPO,Reporting Agency
401200,PARKS REC SLO COAST,State Department
401400,PARKS REC OCEANO DUNE,State Department
401500,SAN LUIS OBISPO,Narctotic Task Force
409100,SAN LUIS OBISPO,Marshal
409901,COASTAL DIVISION,Highway Patrol
409940,TEMPLETON,Highway Patrol
409945,SAN LUIS OBISPO,Highway Patrol
409999,OTHER S L OBISPO CO,Reporting Agency
410000,REDWOOD CITY,Sheriffs Office
410001,REDWOOD CITY,County Jail
410017,AIRPORT SAN FRANCISCO,Reporting Agency
410100,ATHERTON,Police Department
41013A,REDWOOD CITY,District Attorney
41013G,REDWOOD CITY,Probation Department
41015G,SAN MATEO CO,Parole
41017G,SAN MATEO PROBATION,Probation Department
410200,BELMONT,Police Department
41025G,PAR COM SRV DALY CITY,Parole
410300,BRISBANE,Police Department
410400,BURLINGAME,Police Department
410500,COLMA,Police Department
41053G,BELMONT,Probation Department
410600,DALY CITY,Police Department
410700,HALF MOON BAY,Police Department
410800,HILLSBOROUGH,Police Department
410900,MENLO PARK,Police Department
411000,MILLBRAE,Police Department
411100,PACIFICA,Police Department
411200,PORTOLA VALLEY,Police Department
411300,REDWOOD CITY,Police Department
411400,SAN BRUNO,Police Department
411500,SAN CARLOS,Police Department
411600,SAN MATEO,Police Department
411700,SOUTH SAN FRANCISCO,Police Department
411800,WOODSIDE,Police Department
411900,BROADMOOR,Police Department
412000,FOSTER CITY,Police Department
412100,EMERALD LAKE,Police Department
412200,ESTERO,Police Department
412300,FOSTER CITY,Department of Public Safety
412500,SF INTERNATIONAL,Airport Authority
412600,PARK REC BAY AREA DST,State Department
412700,EAST PALO ALTO,Police Department
412900,SAN MATEO COUNTY,Coroner
419100,REDWOOD CITY,Marshal
419930,REDWOOD CITY,Highway Patrol
419999,OTHER SAN MATEO CO,Reporting Agency
420000,SANTA BARBARA,Sheriffs Office
420004,SANTA BARBARA,County Jail
420100,GUADALUPE,Police Department
42013A,SANTA BARBARA,District Attorney
42013B,SANTA MARIA,Municipal Court
42013G,SANTA BARBARA,Probation Department
42015G,SANTA BARBARA CO,Parole
420200,LOMPOC,Police Department
420300,SANTA BARBARA,Police Department
420400,SANTA MARIA,Police Department
420500,CARPINTERIA,Police Department
42063A,SNTA BARBARA,District Attorney
420800,PARKS REC GOLETA,State Department
421100,PD ALLAN HANCOCK JT,Community College
421200,SNTA BARBARA AIRPT PD,City Board/Commission/Dept.
429100,SANTA BARBARA,Marshal
429700,PD SANTA BARBARA,University
429950,SANTA MARIA,Highway Patrol
429955,BUELLTON,Highway Patrol
429960,SANTA BARBARA,Highway Patrol
429999,OTHER S BARBARA CO,Reporting Agency
430000,SAN JOSE,Sheriffs Office
430011,SAN JOSE,County Jail
430015,SNTA CLARA STANFRD UV,Sheriffs Office
430100,ALVISO,Police Department
43013A,SAN JOSE,District Attorney
43013G,SAN JOSE,Probation Department
43015G,SANTA CLARA CO,Parole
430200,CAMPBELL,Police Department
430400,GILROY,Police Department
430500,LOS ALTOS,Police Department
430700,LOS GATOS,Police Department
430800,MILPITAS,Police Department
43083C,SANTA CLARA CO CORR,County Board/Commission/Dept.
430900,MONTE SERENO,Police Department
431000,MORGAN HILL,Police Department
431100,MOUNTAIN VIEW,Police Department
431200,PALO ALTO,Police Department
431300,SAN JOSE,Police Department
431400,SANTA CLARA,Police Department
431600,SUNNYVALE,Police Department
431601,SUNNYVALE,Department of Public Safety
431700,PD SAN JOSE,State University
431800,SCLARA SSFIU,Social Welfare
432000,SANTA CLARA FIRE DEPT,Arson Division
432200,PD SAN JOSE,Unified School District
432300,SAN JOSE,Airport Authority
432600,SANTA CLARA,Narctotic Task Force
432700,PD FOOTHILL DEANZA,Community College
432900,DMV INV SAN JOSE,State Department
433100,FINANCIAL INV SN JOSE,Task Force
433300,REG AUTO THFT SN JOSE,Task Force
433400,PD SAN JOSE EVERGREEN,Community College
433500,INSUR FRAUD SAN JOSE,State Department
433700,WEST VALLEY,Community College
439100,SAN JOSE,Marshal
439400,SAN JOSE,Department of Justice
439600,SAN JOSE FIRE ARSON,Arson Division
439901,GILROY,Highway Patrol
439925,HOLLISTER GILROY,Highway Patrol
439940,SAN JOSE,Highway Patrol
439999,OTHER SANTA CLARA CO,Reporting Agency
440000,SANTA CRUZ,Sheriffs Office
440001,SANTA CRUZ,County Jail
440100,CAPITOLA,Police Department
44013A,SANTA CRUZ,District Attorney
44013G,SANTA CRUZ,Probation Department
44015C,SANTA CRUZ,Youth Authority
44015G,SANTA CRUZ CO,Parole
440200,SANTA CRUZ,Police Department
440300,WATSONVILLE,Police Department
440400,SCOTTS VALLEY,Police Department
440700,PARKS REC APTOS,State Department
440800,PARK REC SANTA CRUZ,State Department
440900,SANTA CRUZ CO HRA SIU,County Board/Commission/Dept.
449100,SANTA CRUZ,Marshal
449700,PD SANTA CRUZ,University
449920,SANTA CRUZ,Highway Patrol
449999,OTHER SANTA CRUZ CO,Reporting Agency
450000,REDDING,Sheriffs Office
450001,REDDING,County Jail
450010,SHASTA BURNEY,Sheriffs Office
450100,ANDERSON,Police Department
45013A,REDDING,District Attorney
45013G,REDDING,Probation Department
45015G,SHASTA CO,Parole
450200,REDDING,Police Department
450400,FISH GAME SHASTA CO,State Department
450600,WELFARE SHASTA,County Board/Commission/Dept.
450700,SHASTA CO,Narctotic Task Force
450800,FIRE DPT ARSN REDDING,City Board/Commission/Dept.
450900,SHASTA FIRE ARSON INV,Arson Division
459100,REDDING,Marshal
459400,DOJ REDDING,Drug Enforcement Unit/Administration
459901,NORTHERN DIVISION,Highway Patrol
459935,REDDING,Highway Patrol
459999,OTHER SHASTA CO,Reporting Agency
460000,DOWNIEVILLE,Sheriffs Office
460001,DOWNIEVILLE,County Jail
460100,LOYALTON,Police Department
46013A,DOWNIEVILLE,District Attorney
46013G,DOWNIEVILLE,Probation Department
46015G,SIERRA CO,Parole
469100,DOWNIEVILLE,Marshal
469900,DOWNIEVILLE,Highway Patrol
469999,OTHER SIERRA CO,Reporting Agency
470000,YREKA,Sheriffs Office
470001,YREKA,County Jail
470100,DORRIS,Police Department
47013A,YREKA,District Attorney
47013G,YREKA,Probation Department
47015G,SISKIYOU CO,Parole
470200,DUNSMUIR,Police Department
470300,ETNA,Police Department
470400,FORT JONES,Police Department
470500,MONTAGUE,Police Department
470600,MOUNT SHASTA,Police Department
470700,TULELAKE,Police Department
470800,WEED,Police Department
470900,YREKA,Police Department
471200,SISKIYOU CO,County Board/Commission/Dept.
479100,YREKA,Marshal
479945,YREKA,Highway Patrol
479946,MOUNT SHASTA,Highway Patrol
479999,OTHER SISKIYOU CO,Reporting Agency
480000,FAIRFIELD,Sheriffs Office
480001,FAIRFIELD,County Jail
480080,SOLANO NARC ENF,Sheriffs Office
480100,BENICIA,Police Department
48013A,FAIRFIELD,District Attorney
48013G,FAIRFIELD,Probation Department
48015C,CORR VACAVILLE,State Department
48015G,SOLANO CO,Parole
48017Y,SOLANO CO SOC SEC OIG,Federal Board/Commission/Dept/Bureau/Agy
480200,DIXON,Police Department
48023G,FAIRFIELD JUV HALL,Probation Department
48025C,CORR VACAVILLE SOUTH,State Department
480300,FAIRFIELD,Police Department
48033A,VALLEJO,District Attorney
480400,RIO VISTA,Police Department
48043A,VALLEJO FS,District Attorney
48045C,CORR SOLANO RECORDS,State Department
480500,SUISUN CITY,Police Department
480600,VACAVILLE,Police Department
480700,VALLEJO,Police Department
481000,INSUR FRAUD VALLEJO,State Department
481100,WELFARE SIU VALLEJO,County Board/Commission/Dept.
481200,HLTH SERV IN VALLEJO,State Department
481300,PD SUISUN,Community College
481400,INSUR FRAUD BENICIA,State Department
489100,FAIRFIELD,Marshal
489900,VALLEJO,Highway Patrol
489901,GOLDEN GATE DIVISION,Highway Patrol
489965,SOLANO,Highway Patrol
489999,OTHER SOLANO CO,Reporting Agency
490000,SANTA ROSA,Sheriffs Office
490001,SANTA ROSA,County Jail
490020,WINDSOR,Police Department
490100,CLOVERDALE,Police Department
49013A,SANTA ROSA,District Attorney
49013G,SANTA ROSA,Probation Department
49015C,SANTA ROSA,Youth Authority
49015G,SONOMA CO,Parole
49015M,PD SONOMA ELDRIDGE,Hospital
490200,COTATI,Police Department
49027G,SANTA ROSA,Probation Department
490300,HEALDSBURG,Police Department
490400,ROHNERT PARK,Police Department
490500,SANTA ROSA,Police Department
490600,SEBASTOPOL,Police Department
490700,SONOMA,Police Department
490800,PETALUMA,Police Department
490900,PD SONOMA,State University
491100,PARKS REC SILVERADO,State Department
491200,PARK REC DUNCAN MILLS,State Department
491400,PD SANTA ROSA,Community College
491600,WELFARE FRAUD SN ROSA,County Board/Commission/Dept.
499100,SANTA ROSA,Marshal
499960,SANTA ROSA,Highway Patrol
499999,OTHER SONOMA CO,Reporting Agency
500000,MODESTO,Sheriffs Office
500001,MODESTO,County Jail
500100,CERES,Police Department
50013A,MODESTO,District Attorney
50013G,MODESTO,Probation Department
50015G,STANISLAUS CO,Parole
500200,MODESTO,Police Department
50025G,MODESTO,Parole
500300,NEWMAN,Police Department
50033A,MODESTO FAM SUPPORT,District Attorney
50033G,STANISLAUS CO JUV,Probation Department
500400,OAKDALE,Police Department
500500,PATTERSON,Police Department
500600,RIVERBANK,Police Department
500700,TURLOCK,Police Department
500800,WATERFORD,Police Department
500900,HUGHSON,Police Department
501000,PD STANISLAUS,State College
501002,PD STANISLAUS,State University
501600,WELFARE FRAUD MODESTO,County Board/Commission/Dept.
501700,MODESTO,Arson Division
501900,FIRE PROTCT MODESTO,County Board/Commission/Dept.
509100,MODESTO,Marshal
509965,MODESTO,Highway Patrol
509999,OTHER STANISLAUS CO,Reporting Agency
510000,YUBA CITY,Sheriffs Office
510001,YUBA CITY,County Jail
510100,LIVE OAK,Police Department
51013A,YUBA CITY,District Attorney
51013G,YUBA CITY,Probation Department
51015G,SUTTER CO,Parole
510200,YUBA CITY,Police Department
510300,WELFARE YUBA CITY,County Board/Commission/Dept.
510500,SUTTER CO,Narctotic Task Force
519100,YUBA CITY,Marshal
519900,YUBA CITY,Highway Patrol
519985,YUBA SUTTER,Highway Patrol
519999,OTHER SUTTER CO,Reporting Agency
520000,RED BLUFF,Sheriffs Office
520001,RED BLUFF,County Jail
520100,CORNING,Police Department
52013A,RED BLUFF,District Attorney
52013G,RED BLUFF,Probation Department
52015G,TEHAMA CO,Parole
520200,RED BLUFF,Police Department
520300,TEHAMA,Police Department
520400,BNE TAGMET,Department of Justice
529100,RED BLUFF,Marshal
529930,RED BLUFF,Highway Patrol
529999,OTHER TEHAMA CO,Reporting Agency
530000,WEAVERVILLE,Sheriffs Office
530001,WEAVERVILLE,County Jail
53013A,WEAVERVILLE,District Attorney
53013G,WEAVERVILLE,Probation Department
53015G,TRINITY CO,Parole
539100,WEAVERVILLE,Marshal
539900,WEAVERVILLE,Highway Patrol
539975,TRINITY RIVER,Highway Patrol
539999,OTHER TRINITY CO,Reporting Agency
540000,VISALIA,Sheriffs Office
540001,VISALIA,County Jail
540100,DINUBA,Police Department
54013A,VISALIA,District Attorney
54013G,VISALIA,Probation Department
54015G,TULARE CO,Parole
540200,EXETER,Police Department
54023A,VISALIA MAIN,District Attorney
540300,FARMERSVILLE,Police Department
540400,LINDSAY,Police Department
540500,PORTERVILLE,Police Department
540600,TULARE,Police Department
540700,VISALIA,Police Department
540800,WOODLAKE,Police Department
541200,PD PORTERVILLE,Hospital
54123J,TULARE,Superior Court
541300,TULARE CO FIRE DEPT,Arson Division
549100,VISALIA,Marshal
549980,VISALIA,Highway Patrol
549981,PORTERVILLE,Highway Patrol
549999,OTHER TULARE CO,Reporting Agency
550000,SONORA,Sheriffs Office
550001,SONORA,County Jail
550100,SONORA,Police Department
55013A,SONORA,District Attorney
55013G,SONORA,Probation Department
55015C,CORR JAMESTOWN,State Department
55015G,TUOLUMNE CO,Parole
559100,SONORA,Marshal
559925,SONORA,Highway Patrol
559999,OTHER TUOLUMNE CO,Reporting Agency
560000,VENTURA,Sheriffs Office
560002,VENTURA,County Jail
560010,VENTURA CAMARILLO PD,Sheriffs Office
560018,VENTURA FILLMORE PD,Sheriffs Office
560027,VENTURA MOORPARK PD,Sheriffs Office
560100,CAMARILLO,Police Department
56013G,VENTURA,Probation Department
56015C,VENTURA SCH CAMARILLO,Youth Authority
56015G,VENTURA CO,Parole
56015M,CAMARILLO STATE,Hospital
560200,FILLMORE,Police Department
56023A,VENTURA,District Attorney
56025C,CAMARILLO,Youth Authority
560300,OJAI,Police Department
560400,OXNARD,Police Department
560500,PORT HUENEME,Police Department
56053G,VENTURA CO,Probation Department
560600,SANTA PAULA,Police Department
560700,THOUSAND OAKS,Police Department
560800,VENTURA,Police Department
560900,SIMI VALLEY,Police Department
561300,PARK REC ANGELS DIST,State Department
561500,PARKS REC CHANNEL CST,State Department
561700,PARKS REC HUNGRY VLLY,State Department
561900,ARSON UNIT CAMARILLO,County Board/Commission/Dept.
562000,MED EXAMINER VENTURA,County Board/Commission/Dept.
562200,PD CHANNEL ISLANDS,State University
569100,VENTURA,Marshal
569965,VENTURA,Highway Patrol
569970,MOORPARK AREA,Highway Patrol
569999,OTHER VENTURA CO,Reporting Agency
570000,WOODLAND,Sheriffs Office
570001,BRODERICK,Sheriffs Office
570002,WOODLAND,County Jail
570100,DAVIS,Police Department
57013A,WOODLAND,District Attorney
57013G,WOODLAND,Probation Department
57015G,YOLO CO,Parole
570200,WINTERS,Police Department
570300,WOODLAND,Police Department
57033A,WOODLAND CRM DIV,District Attorney
570400,WEST SACRAMENTO,Police Department
570700,YOLO,Narctotic Task Force
570900,WELFARE WOODLAND,County Board/Commission/Dept.
579100,WOODLAND,Marshal
579700,PD DAVIS,University
579980,WOODLAND,Highway Patrol
579999,OTHER YOLO CO,Reporting Agency
580000,MARYSVILLE,Sheriffs Office
580001,MARYSVILLE,County Jail
580100,MARYSVILLE,Police Department
58013A,MARYSVILLE,District Attorney
58013G,MARYSVILLE,Probation Department
58015G,YUBA CO,Parole
580200,WHEATLAND,Police Department
589100,MARYSVILLE,Marshal
589900,MARYSVILLE,Highway Patrol
589999,OTHER YUBA CO,Reporting Agency
